Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Atlassian Project),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Category),Custom field (Comments),Custom field (Confidence),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Design file),Custom field (Designs ready),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Documents),Custom field (Effort),Custom field (Effort),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Idea short description),Custom field (Impact),Custom field (Impact),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Project start),Custom field (Project start),Custom field (Project target),Custom field (Project target),Custom field (RICE score),Custom field (Rank),Custom field (Reach),Custom field (Roadmap),Custom field (Roadmap),Custom field (Score),Custom field (Spec ready),Custom field (Start date),Custom field (State),Custom field (Story point estimate),Custom field (Team),Custom field (Value),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
 PC/Desktop-Ansicht,KAN-26,10121,Epic,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:49 PM,10/Apr/26 2:33 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i00017:,,,,,,,,,,,,,,,To Do,10/Apr/26 1:49 PM
Familien-Sync,KAN-1,10072,Epic,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:39 PM,10/Apr/26 1:39 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0001b:,,,,,,,,,,,,,,,To Do,10/Apr/26 1:39 PM
"Supabase-Projekt anlegen und Datenbank-Schema erstellen (households, users, products)",KAN-3,10076,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:41 PM,10/Apr/26 1:41 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0001r:,,,,,,,,,,,,10074,KAN-2,Haushalte erstellen,To Do,10/Apr/26 1:41 PM
Authentifizierung einrichten (Magic Link per E-Mail),KAN-4,10078,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:41 PM,10/Apr/26 1:41 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0001z:,,,,,,,,,,,,10074,KAN-2,Haushalte erstellen,To Do,10/Apr/26 1:41 PM
UI: Login-Screen in der App,KAN-5,10080,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:41 PM,10/Apr/26 1:41 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i00027:,,,,,,,,,,,,10074,KAN-2,Haushalte erstellen,To Do,10/Apr/26 1:41 PM
"UI: ""Haushalt erstellen""-Flow mit Haushalt-Name",KAN-6,10082,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:41 PM,10/Apr/26 1:41 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0002f:,,,,,,,,,,,,10074,KAN-2,Haushalte erstellen,To Do,10/Apr/26 1:41 PM
Einladungscode (6-stellig) generieren und anzeigen,KAN-7,10084,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:41 PM,10/Apr/26 1:41 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0002n:,,,,,,,,,,,,10074,KAN-2,Haushalte erstellen,To Do,10/Apr/26 1:41 PM
Row Level Security in Supabase konfigurieren,KAN-8,10086,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:41 PM,10/Apr/26 1:41 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0002v:,,,,,,,,,,,,10074,KAN-2,Haushalte erstellen,To Do,10/Apr/26 1:41 PM
Haushalte erstellen,KAN-2,10074,Story,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:40 PM,09/Jul/26 10:18 AM,,,,0,"Als Nutzer möchte ich einen gemeinsamen Haushalt erstellen, damit meine Familie dieselben Vorräte sieht.",,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0002z:,,,,,,,,,,,,10072,KAN-1,Familien-Sync,To Do,09/Jul/26 10:18 AM
 Haushalt beitreten,KAN-9,10088,Story,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:42 PM,10/Apr/26 1:48 PM,,,,0,"Als Familienmitglied möchte ich per Einladungscode einem Haushalt beitreten, damit ich keine manuelle Einrichtung brauche.",,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i00033:,,,,,,,,,,,,10072,KAN-1,Familien-Sync,To Do,10/Apr/26 1:42 PM
UI: Einladungscode eingeben,KAN-10,10090,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:42 PM,10/Apr/26 1:42 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0003b:,,,,,,,,,,,,10088,KAN-9, Haushalt beitreten,To Do,10/Apr/26 1:42 PM
Backend: Code validieren und User dem Haushalt zuweisen,KAN-11,10092,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:42 PM,10/Apr/26 1:42 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0003j:,,,,,,,,,,,,10088,KAN-9, Haushalt beitreten,To Do,10/Apr/26 1:42 PM
Weiterleitung zur App nach erfolgreichem Beitritt,KAN-12,10094,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:42 PM,10/Apr/26 1:42 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0003r:,,,,,,,,,,,,10088,KAN-9, Haushalt beitreten,To Do,10/Apr/26 1:42 PM
Echtzeit-Sync,KAN-13,10096,Story,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:42 PM,10/Apr/26 1:48 PM,,,,0,"Als Nutzer möchte ich, dass Änderungen sofort auf allen Geräten sichtbar sind, damit die Vorratsliste immer aktuell ist.",,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0003z:,,,,,,,,,,,,10072,KAN-1,Familien-Sync,To Do,10/Apr/26 1:42 PM
Supabase Realtime für die products-Tabelle aktivieren,KAN-14,10098,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:42 PM,10/Apr/26 1:42 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i00047:,,,,,,,,,,,,10096,KAN-13,Echtzeit-Sync,To Do,10/Apr/26 1:42 PM
App: localStorage durch Supabase-Client ersetzen,KAN-15,10100,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:42 PM,10/Apr/26 1:42 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0004f:,,,,,,,,,,,,10096,KAN-13,Echtzeit-Sync,To Do,10/Apr/26 1:42 PM
"Optimistic UI: Änderungen sofort lokal anzeigen, im Hintergrund speichern",KAN-16,10102,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:43 PM,10/Apr/26 1:43 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0004n:,,,,,,,,,,,,10096,KAN-13,Echtzeit-Sync,To Do,10/Apr/26 1:43 PM
Konfliktbehandlung bei gleichzeitigen Änderungen (last-write-wins),KAN-17,10104,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:43 PM,10/Apr/26 1:43 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0004v:,,,,,,,,,,,,10096,KAN-13,Echtzeit-Sync,To Do,10/Apr/26 1:43 PM
